"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"2539","Clean & quiet apt home by the park","2787","John","Brooklyn","Kensington","40.64749","-73.97237","Private room","149","1","9","2018-10-19","0.21","6","365"
"2595","Skylit Midtown Castle","2845","Jennifer","Manhattan","Midtown","40.75362","-73.98377","Entire home/apt","225","1","45","2019-05-21","0.38","2","355"
"3647","THE VILLAGE OF HARLEM....NEW YORK !","4632","Elisabeth","Manhattan","Harlem","40.80902","-73.9419","Private room","150","3","0","","0","1","365"
"3831","Cozy Entire Floor of Brownstone","4869","LisaRoxanne","Brooklyn","Clinton Hill","40.68514","-73.95976","Entire home/apt","89","1","270","2019-07-05","4.64","1","194"
"5022","Entire Apt: Spacious Studio/Loft by central park","7192","Laura","Manhattan","East Harlem","40.79851","-73.94399","Entire home/apt","80","10","9","2018-11-19","0.1","1","0"
"5099","Large Cozy 1 BR Apartment In Midtown East","7322","Chris","Manhattan","Murray Hill","40.74767","-73.975","Entire home/apt","200","3","74","2019-06-22","0.59","1","129"
"5178","Large Furnished Room Near B'way","8967","Shunichi","Manhattan","Hell's Kitchen","40.76489","-73.98493","Private room","79","2","430","2019-06-24","3.47","1","220"
"5203","Cozy Clean Guest Room - Family Apt","7490","MaryEllen","Manhattan","Upper West Side","40.80178","-73.96723","Private room","79","2","118","2017-07-21","0.99","1","0"
"5238","Cute & Cozy Lower East Side 1 bdrm","7549","Ben","Manhattan","Chinatown","40.71344","-73.99037","Entire home/apt","150","1","160","2019-06-09","1.33","4","188"
"5295","Beautiful 1br on Upper West Side","7702","Lena","Manhattan","Upper West Side","40.80316","-73.96545","Entire home/apt","135","5","53","2019-06-22","0.43","1","6"
"5441","Central Manhattan/near Broadway","7989","Kate","Manhattan","Hell's Kitchen","40.76076","-73.98867","Private room","85","2","188","2019-06-23","1.5","1","39"
"5803","Lovely Room 1, Garden, Best Area, Legal rental","9744","Laurie","Brooklyn","South Slope","40.66829","-73.98779","Private room","89","4","167","2019-06-24","1.34","3","314"
"6021","Wonderful Guest Bedroom in Manhattan for SINGLES","11528","Claudio","Manhattan","Upper West Side","40.79826","-73.96113","Private room","85","2","113","2019-07-05","0.91","1","333"
"6848","Only 2 stops to Manhattan studio","15991","Allen & Irina","Brooklyn","Williamsburg","40.70837","-73.95352","Entire home/apt","140","2","148","2019-06-29","1.2","1","46"
"7097","Perfect for Your Parents + Garden","17571","Jane","Brooklyn","Fort Greene","40.69169","-73.97185","Entire home/apt","215","2","198","2019-06-28","1.72","1","321"
"7322","Chelsea Perfect","18946","Doti","Manhattan","Chelsea","40.74192","-73.99501","Private room","140","1","260","2019-07-01","2.12","1","12"
"7726","Hip Historic Brownstone Apartment with Backyard","20950","Adam And Charity","Brooklyn","Crown Heights","40.67592","-73.94694","Entire home/apt","99","3","53","2019-06-22","4.44","1","21"
"7750","Huge 2 BR Upper East  Cental Park","17985","Sing","Manhattan","East Harlem","40.79685","-73.94872","Entire home/apt","190","7","0","","0","2","249"
"7801","Sweet and Spacious Brooklyn Loft","21207","Chaya","Brooklyn","Williamsburg","40.71842","-73.95718","Entire home/apt","299","3","9","2011-12-28","0.07","1","0"
"8024","CBG CtyBGd HelpsHaiti rm#1:1-4","22486","Lisel","Brooklyn","Park Slope","40.68069","-73.97706","Private room","130","2","130","2019-07-01","1.09","6","347"
"8025","CBG Helps Haiti Room#2.5","22486","Lisel","Brooklyn","Park Slope","40.67989","-73.97798","Private room","80","1","39","2019-01-01","0.37","6","364"
"8110","CBG Helps Haiti Rm #2","22486","Lisel","Brooklyn","Park Slope","40.68001","-73.97865","Private room","110","2","71","2019-07-02","0.61","6","304"
"8490","MAISON DES SIRENES1,bohemian apartment","25183","Nathalie","Brooklyn","Bedford-Stuyvesant","40.68371","-73.94028","Entire home/apt","120","2","88","2019-06-19","0.73","2","233"
"8505","Sunny Bedroom Across Prospect Park","25326","Gregory","Brooklyn","Windsor Terrace","40.65599","-73.97519","Private room","60","1","19","2019-06-23","1.37","2","85"
"8700","Magnifique Suite au N de Manhattan - vue Cloitres","26394","Claude & Sophie","Manhattan","Inwood","40.86754","-73.92639","Private room","80","4","0","","0","1","0"
"9357","Midtown Pied-a-terre","30193","Tommi","Manhattan","Hell's Kitchen","40.76715","-73.98533","Entire home/apt","150","10","58","2017-08-13","0.49","1","75"
"9518","SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM","31374","Shon","Manhattan","Inwood","40.86482","-73.92106","Private room","44","3","108","2019-06-15","1.11","3","311"
"9668","front room/double bed","32294","Ssameer Or Trip","Manhattan","Harlem","40.82245","-73.95104","Private room","50","3","242","2019-06-01","2.04","3","355"
"9704","Spacious 1 bedroom in luxe building","32045","Teri","Manhattan","Harlem","40.81305","-73.95466","Private room","52","2","88","2019-06-14","1.42","1","255"
"9782","Loft in Williamsburg Area w/ Roof","32169","Andrea","Brooklyn","Greenpoint","40.72219","-73.93762","Private room","55","4","197","2019-06-15","1.65","3","284"
"9783","back room/bunk beds","32294","Ssameer Or Trip","Manhattan","Harlem","40.8213","-73.95318","Private room","50","3","273","2019-07-01","2.37","3","359"
"10452","Large B&B Style rooms","35935","Angela","Brooklyn","Bedford-Stuyvesant","40.6831","-73.95473","Private room","70","1","74","2019-05-12","0.66","2","269"
